objectIdFieldName,globalIdFieldName,geometryType,spatialReference__wkid,spatialReference__latestWkid,fields__name,fields__alias,fields__type,fields__length,features__attributes__ADDRESS_POINT_ID,features__attributes__ADDRESS_NUMBER,features__attributes__LINEAR_NAME_FULL,features__attributes__ADDRESS_FULL,features__attributes__POSTAL_CODE,features__attributes__MUNICIPALITY,features__attributes__CITY,features__attributes__PLACE_NAME,features__attributes__GENERAL_USE_CODE,features__attributes__CENTRELINE_ID,features__attributes__LO_NUM,features__attributes__LO_NUM_SUF,features__attributes__HI_NUM,features__attributes__HI_NUM_SUF,features__attributes__LINEAR_NAME_ID,features__attributes__X,features__attributes__Y,features__attributes__LONGITUDE,features__attributes__LATITUDE,features__attributes__MAINT_STAGE,features__attributes__OBJECTID,features__attributes__PT_ID,features__attributes__PT_TYPE,features__attributes__PT_NAME,features__attributes__PT_CONN_ROUTE,features__attributes__PT_PUB_PARK,features__attributes__PT_KISS_RIDE,features__attributes__PT_ESCALATOR,features__attributes__PT_ELEVATOR,features__attributes__PT_TRANSF_REQ,features__attributes__PT_PUB_WASH,features__attributes__PT_PHONE,features__attributes__PT_OTHER_TRAN,features__attributes__PT_WEBSITE,features__attributes__PT_EXTRA1,features__attributes__PT_EXTRA2,features__geometry__x,features__geometry__y
,,,,,,,,,7950531,15,Jane St,15 Jane St,null,former Toronto,Toronto,null,115001,7950483,15,null,null,null,694,306060.305,4834437.533,-79.48437996,43.6498882,REGULAR,2290946,1065,Subway Stations,JANE,"26 - 35A,B,C,D,E - 55",No,No,"Train Platform to Mezzanine, Bus Platform and Street",Yes,Yes,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Jane/station.jsp,null,null,-8848160.34,5411419.154
,,,,,,,,,30033413,50,Yorkdale Rd,50 Yorkdale Rd,null,North York,Toronto,Yorkdale Subway Station,115001,30093824,50,null,null,null,7149,309010.689,4842793.861,-79.44773717,43.72508658,REGULAR,4209254,1061,Subway Stations,YORKDALE,"47B,C - 109B",Yes,No,Train Platform to Mezzanine and Street,No,Yes,No,(416) 393-4636,GO Yorkdale,http://www.ttc.ca/Subway/Stations/Yorkdale/station.jsp,null,null,-8844081.645,5422996.796
,,,,,,,,,14043670,550,Sheppard Ave E,550 Sheppard Ave E,M2K 3C8,North York,Toronto,null,115001,439196,550,null,null,null,6698,313855.228,4847466.234,-79.38753163,43.7671088,REGULAR,1769230,1066,Subway Stations,BAYVIEW,"11,A - 85,B",No,No,Train Platform to Mezzanine and Street,Yes,Yes,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Bayview/station.jsp,null,null,-8837379.234,5429470.859
,,,,,,,,,14224877,731,Sheppard Ave E,731 Sheppard Ave E,M2K 3C9,North York,Toronto,null,115001,30059374,731,null,null,null,6698,314790.192,4847686.31,-79.37591147,43.76906912,REGULAR,3792907,1067,Subway Stations,BESSARION,"85,B",No,No,Train Platform to Mezzanine and Street,Yes,Yes,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Bessarion/station.jsp,null,null,-8836086.046,5429774.37
,,,,,,,,,14043658,1209,Sheppard Ave E,1209 Sheppard Ave E,M2K 3E1,North York,Toronto,null,115001,438609,1209,null,null,null,6698,315510.501,4847906.013,-79.36696336,43.77104524,REGULAR,3164183,1068,Subway Stations,LESLIE,"51 - 85,B",Yes,No,"Train Platform to Mezzanine, Bus Platform and Street",Yes,"85,B Only",No,(416) 393-4636,GO Transit,http://www.ttc.ca/Subway/Stations/Leslie/station.jsp,null,null,-8835089.587,5430077.675
,,,,,,,,,14068203,1700,Sheppard Ave E,1700 Sheppard Ave E,M2J 5G9,North York,Toronto,null,115001,438190,1700,null,null,null,6698,317147.726,4848395.175,-79.34661547,43.77542278,REGULAR,1979427,1069,Subway Stations,DON MILLS,"10 - 24A - 25,D - 85,A,B - 139C,E - 1C,E - 167 - 169 - 190 - 224A,C,D - 268",Yes,Yes,"Train Platform to Mezzanine, Bus Platform and Street",Yes,No,Yes,(416) 393-4636,York Region Transit,http://www.ttc.ca/Subway/Stations/Don_Mills/station.jsp,null,null,-8832824.471,5430752.534
,,,,,,,,,10864311,55,Front St W,55 Front St W,null,former Toronto,Toronto,null,115001,10864309,55,null,null,null,3472,314543.265,4833986.018,-79.37922964,43.64576123,REGULAR,1685566,1036,Subway Stations,UNION,"6,A - 65A - 72A,B - 97B - 172 - 503 - 509 - 510",No,No,Train Platform and Streetcar Platform to Mezzanine,Yes,"6,A - 65A - 72A - 97B - 503  Only",No,(416) 393-4636,"GO Union,  VIA Rail Amtrack",http://www.ttc.ca/Subway/Stations/Union/station.jsp,null,null,-8836455.063,5410784.251
,,,,,,,,,11382307,777,Victoria Park Ave,777 Victoria Park Ave,null,Scarborough,Toronto,null,115001,11382305,777,null,null,null,370,321795.73,4839420.946,-79.28915706,43.69454357,REGULAR,3219105,1013,Subway Stations,VICTORIA PARK,"12,A,B - 24,A - 67,A - 404",Yes,No,"Train Platform to Mezzanine, Bus Platform and Street",No,No,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Victoria_Park/station.jsp,null,null,-8826428.588,5418293.139
,,,,,,,,,8232328,315,Main St,315 Main St,M4C 4X6,former Toronto,Toronto,null,115001,30104413,315,null,null,null,234,320802.084,4838811.758,-79.30150188,43.68908219,REGULAR,4280473,1012,Subway Stations,MAIN STREET,"20 - 23 - 62 - 64 - 87,A - 113 - 135 - 506",No,No,"Train Platform to Mezzanine, Bus Platform and Street",Yes,No,No,(416) 393-4636,GO Danforth,http://www.ttc.ca/Subway/Stations/Main_Street/station.jsp,null,null,-8827802.808,5417452.334
,,,,,,,,,6341040,1275,McCowan Rd,1275 McCowan Rd,null,Scarborough,Toronto,null,115001,6341039,1275,null,null,null,8454,324770.715,4848352.309,-79.25192231,43.77487063,REGULAR,2748442,1002,Subway Stations,MCCOWAN,"9 - 134,A,B,C",No,No,Train Platform to Mezzanine and Street,No,Yes,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/McCowan/station.jsp,null,null,-8822283.28,5430667.409
,,,,,,,,,14076093,290,Borough Dr,290 Borough Dr,null,Scarborough,Toronto,null,115001,14076106,290,null,null,null,7397,324263.342,4848298.208,-79.25822373,43.77438856,REGULAR,3339693,1003,Subway Stations,SCARBOROUGH CENTRE,"9 - 16 - 21,A,B - 38 - 43B - 129,A - 130,A - 131,E - 132 - 133,A,B,C - 134,A,B,C - 169 - 190 - 194",No,No,"Train and Srt Platform to Mezzanine, Bus Platform and Street",Yes,No,No,(416) 393-4636,GO Scarborough Centre,http://www.ttc.ca/Subway/Stations/Scarborough_Centre/station.jsp,null,null,-8822985.108,5430594.416
,,,,,,,,,6541767,2085,Midland Ave,2085 Midland Ave,null,Scarborough,Toronto,null,115001,108103,2085,null,null,null,8496,323176.506,4847867.581,-79.27173919,43.7705402,REGULAR,4166956,1006,Subway Stations,MIDLAND,57,No,No,Train Platform to Mezzanine and Street,No,Yes,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Midland/station.jsp,null,null,-8824489.64,5430001.145
,,,,,,,,,6541760,1025,Ellesmere Rd,1025 Ellesmere Rd,null,Scarborough,Toronto,null,115001,6541761,1025,null,null,null,7835,322691.372,4847360.392,-79.27778526,43.76599543,REGULAR,3068257,1007,Subway Stations,ELLESMERE,"95,B,E",Yes,No,No,No,Yes,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Ellesmere/station.jsp,null,null,-8825162.329,5429299.234
,,,,,,,,,7171805,2444,Lawrence Ave E,2444 Lawrence Ave E,null,Scarborough,Toronto,null,115001,7171803,2444,null,null,null,3828,323279.644,4845682.307,-79.27053647,43.75087634,REGULAR,3097250,1004,Subway Stations,LAWRENCE EAST,"54,A,E",Yes,No,"Track Underpass to Mezzanine, Bus Platform and Street",No,No,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Lawrence_East/station.jsp,null,null,-8824355.398,5426968.989
,,,,,,,,,6674325,2455,Eglinton Ave E,2455 Eglinton Ave E,null,Scarborough,Toronto,null,115001,6674326,2455,null,null,null,125,323812.147,4843641.863,-79.26399325,43.73248795,REGULAR,4260711,1010,Subway Stations,KENNEDY,"12A,B - 20 - 21,A - 34,C - 43,B - 57 - 86,A,B,D,E - 113 - 116,A,E - 131E",Yes,Yes,"Train and Srt Platform to Mezzanine, Bus Platform and Street",Yes,No,Yes,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Kennedy/station.jsp,null,null,-8823627.367,5424136.975
,,,,,,,,,7171768,5714,Yonge St,5714 Yonge St,null,North York,Toronto,null,115001,7171807,5714,null,null,null,4733,311530.92,4849091.465,-79.41638058,43.78176253,REGULAR,1741807,1005,Subway Stations,FINCH,"36A,B,C,D - 39,A,B,C,D,E,F - 42,A,B - 53,A,B,E - 60,B,C,E,F - 97,B,C - 125",Yes,Yes,"Train Platform to Mezzanine, Bus Platform and Street",Yes,"97,B,C Only",Yes,(416) 393-4636,"GO Finch, York Region Transit, Brampton Transit",http://www.ttc.ca/Subway/Stations/Finch/station.jsp,null,null,-8840590.684,5431729.985
,,,,,,,,,14076455,5152,Yonge St,5152 Yonge St,null,North York,Toronto,null,115001,7131365,5152,null,null,null,4733,311796.893,4847675.876,-79.41309143,43.76900952,REGULAR,3803265,1008,Subway Stations,NORTH YORK CENTRE,"97,B,C",No,No,Train Platform to Mezzanine,No,"97,B,C Only",No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/North_York_Centre/station.jsp,null,null,-8840224.9,5429765.183
,,,,,,,,,13967653,20,Sheppard Ave W,20 Sheppard Ave W,M2N 7H9,North York,Toronto,null,115001,439820,20,null,null,null,6699,311856.49,4846864.068,-79.41236509,43.76171034,REGULAR,2917182,1009,Subway Stations,SHEPPARD-YONGE,"84,A,D - 85,B - 98,A - 97,B,C - 196B",No,No,Train Platform to Mezzanine and Bus Platform,Yes,"97,B,C Only",Yes,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Sheppard-Yonge/station.jsp,null,null,-8840143.683,5428638.731
,,,,,,,,,12036646,4025,Yonge St,4025 Yonge St,M2P 2E3,North York,Toronto,null,115001,20061060,4025,null,null,null,4733,312341.65,4844998.092,-79.40636584,43.74490955,REGULAR,2210417,1015,Subway Stations,YORK MILLS,"78 - 95,A,B,E - 96,A,B,C,D,G - 97A,D - 97,B,C - 115 - 122 - 165,A,C,D",Yes,No,Train Platform to Bus Platform and Street,Yes,"97,B,C Only",No,(416) 393-4636,GO York Mills,http://www.ttc.ca/Subway/Stations/York_Mills/station.jsp,null,null,-8839475.849,5426049.514
,,,,,,,,,7762894,3101,Yonge St,3101 Yonge St,null,former Toronto,Toronto,George Milbrandt Parkette,115001,7762807,3101,null,null,null,4733,312700.883,4842826.937,-79.40193424,43.72535419,REGULAR,3836007,1014,Subway Stations,LAWRENCE,"52,C - 59C - 97,A,B,C,D - 124,A - 162",No,No,"Train Platform to Mezzanine, Bus Platform and Street",No,"97,A,B,C,D Only",No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Lawrence/station.jsp,null,null,-8838982.888,5423038.018
,,,,,,,,,10561028,1035,Sheppard Ave W,1035 Sheppard Ave W,null,North York,Toronto,Sheppard West Station,115001,10561029,1035,null,null,null,6699,307808.127,4845552.741,-79.46264786,43.74992572,REGULAR,4281332,1001,Subway Stations,SHEPPARD WEST,"84,A,D - 105 - 106 - 107B,C,D - 108,A - 117,A - 196A,B",Yes,Yes,"Train Platform to Mezzanine, Bus Platform and Street",Yes,No,Yes,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Sheppard_West/station.jsp,null,null,-8845741.496,5426823.819
